Key Date;Legal Entity;Business Portfolio;Cohort;Factor Actuals;Factor Estimates
20211231;001;32;2014;L22100;100,00;100,00
20211231;001;32;2014;L22100;0,00;0,00
20211231;001;32;2014;L22100;100,00;100,00
20211231;001;32;2015;L22100;0,00;0,00
20211231;001;32;2015;L22100;100,00;100,00
20211231;001;32;2015;L22100;94,98;94,98
20211231;001;32;2015;L22100;5,02;5,02
20211231;001;32;2015;L22100;100,00;100,00
20211231;001;32;2015;L22100;0,00;0,00
20211231;001;32;2015;L22100;0,00;0,00
20211231;001;32;2015;L22100;100,00;100,00
20211231;001;32;2015;L22100;0,00;0,00
20211231;001;32;2015;L22100;100,00;100,00
20211231;001;32;2016;L22100;0,00;0,00
20211231;001;32;2016;L22100;100,00;100,00
20211231;001;32;2016;L22100;95,92;95,92
20211231;001;32;2016;L22100;4,08;4,08
20211231;001;32;2016;L22100;100,00;100,00
20211231;001;32;2016;L22100;0,00;0,00
20211231;001;32;2016;L22100;100,00;100,00
20211231;001;32;2016;L22100;0,00;0,00
20211231;001;32;2016;L22100;0,00;0,00
20211231;001;32;2016;L22100;100,00;100,00
20211231;001;32;2016;L22100;0,00;0,00
20211231;001;32;2016;L22100;100,00;100,00
20211231;001;32;2016;L22100;100,00;100,00
20211231;001;32;2016;L22100;95,92;95,92
20211231;001;32;2016;L22100;4,08;4,08
20211231;001;32;2016;L22100;100,00;100,00
20211231;001;32;2016;L22100;0,00;0,00
20211231;001;32;2016;L22100;0,00;0,00
20211231;001;32;2016;L22100;0,00;0,00
20211231;001;32;2016;L22100;100,00;100,00
20211231;001;32;2017;L22100;0,00;0,00
20211231;001;32;2017;L22100;100,00;100,00
20211231;001;32;2017;L22100;96,68;96,68
20211231;001;32;2017;L22100;3,32;3,32
20211231;001;32;2017;L22100;100,00;100,00
20211231;001;32;2017;L22100;0,00;0,00
20211231;001;32;2017;L22100;0,00;0,00
20211231;001;32;2017;L22100;100,00;100,00
20211231;001;32;2017;L22100;0,00;0,00
20211231;001;32;2017;L22100;100,00;100,00
20211231;001;32;2017;L22100;0,00;0,00
20211231;001;32;2017;L22100;100,00;100,00
20211231;001;32;2017;L22100;96,68;96,68
20211231;001;32;2017;L22100;3,32;3,32
20211231;001;32;2017;L22100;100,00;100,00
20211231;001;32;2017;L22100;0,00;0,00
20211231;001;32;2017;L22100;0,00;0,00
20211231;001;32;2017;L22100;100,00;100,00
20211231;001;32;2017;L22100;0,00;0,00
20211231;001;32;2017;L22100;100,00;100,00
20211231;001;32;2018;L22100;0,00;0,00
20211231;001;32;2018;L22100;100,00;100,00
20211231;001;32;2018;L22100;96,45;96,45
20211231;001;32;2018;L22100;3,55;3,55
20211231;001;32;2018;L22100;100,00;100,00
20211231;001;32;2018;L22100;0,00;0,00
20211231;001;32;2018;L22100;0,00;0,00
20211231;001;32;2018;L22100;100,00;100,00
20211231;001;32;2018;L22100;0,00;0,00
20211231;001;32;2018;L22100;100,00;100,00
20211231;001;32;2019;L22100;0,00;0,00
20211231;001;32;2019;L22100;100,00;100,00
20211231;001;32;2019;L22100;95,87;95,87
20211231;001;32;2019;L22100;4,13;4,13
20211231;001;32;2019;L22100;100,00;100,00
20211231;001;32;2019;L22100;0,00;0,00
20211231;001;32;2019;L22100;0,00;0,00
20211231;001;32;2019;L22100;100,00;100,00
20211231;001;32;2019;L22100;0,00;0,00
20211231;001;32;2019;L22100;100,00;100,00
20211231;001;32;2020;L22100;0,00;0,00
20211231;001;32;2020;L22100;100,00;100,00
20211231;001;32;2020;L22100;98,01;98,01
20211231;001;32;2020;L22100;1,99;1,99
20211231;001;32;2020;L22100;100,00;100,00
20211231;001;32;2020;L22100;0,00;0,00
20211231;001;32;2020;L22100;0,00;0,00
20211231;001;32;2020;L22100;100,00;100,00
20211231;001;32;2020;L22100;0,00;0,00
20211231;001;32;2020;L22100;100,00;100,00
20211231;001;32;2021;L22100;0,00;0,00
20211231;001;32;2021;L22100;100,00;100,00
20211231;001;32;2021;L22100;97,70;97,70
20211231;001;32;2021;L22100;2,30;2,30
20211231;001;32;2021;L22100;100,00;100,00
20211231;001;32;2021;L22100;0,00;0,00
20211231;001;32;2021;L22100;0,00;0,00
20211231;001;32;2021;L22100;100,00;100,00
20211231;001;32;2021;L22100;0,00;0,00
20211231;001;32;2021;L22100;100,00;100,00
20211231;001;32;2021;L22100;0,00;0,00
20211231;001;32;2021;L22100;100,00;100,00
20211231;001;32;2021;L22100;97,70;97,70
20211231;001;32;2021;L22100;2,30;2,30
20211231;001;32;2021;L22100;100,00;100,00
20211231;001;32;2021;L22100;0,00;0,00
20211231;001;32;2021;L22100;0,00;0,00
20211231;001;32;2021;L22100;100,00;100,00
20211231;001;32;2021;L22100;0,00;0,00
20211231;001;32;2021;L22100;100,00;100,00
20211231;001;32;2021;L22100;0,00;0,00
20211231;001;32;2021;L22100;100,00;100,00
20211231;001;32;2021;L22100;97,70;97,70
20211231;001;32;2021;L22100;2,30;2,30
20211231;001;32;2021;L22100;100,00;100,00
20211231;001;32;2021;L22100;0,00;0,00
20211231;001;32;2021;L22100;0,00;0,00
20211231;001;32;2021;L22100;100,00;100,00
20211231;001;32;2021;L22100;0,00;0,00
20211231;001;32;2021;L22100;100,00;100,00
20211231;001;32;2021;L22100;0,00;0,00
20211231;001;32;2021;L22100;100,00;100,00
20211231;001;32;2021;L22100;97,70;97,70
20211231;001;32;2021;L22100;2,30;2,30
20211231;001;32;2021;L22100;100,00;100,00
20211231;001;32;2021;L22100;0,00;0,00
20211231;001;32;2021;L22100;0,00;0,00
20211231;001;32;2021;L22100;100,00;100,00
20211231;001;32;2021;L22100;0,00;0,00
20211231;001;32;2021;L22100;100,00;100,00
20211231;005;21;0000;L41100;100,00;100,00
20211231;005;21;0000;L41100;100,00;100,00
20211231;005;21;0000;L41100;94,05;94,05
20211231;005;21;0000;L41100;5,95;5,95
20211231;005;21;0000;L41100;0,00;0,00
20211231;005;21;0000;L41100;0,00;0,00
